,country,city,lat,lng,temp,humidity,cloudiness,wind speed,datetime
0,US,Jamestown,42.097,-79.2353,-7.78,73,1,3.09,1613085479
1,ZA,Cape Town,-33.9258,18.4232,22.22,94,20,4.63,1613085100
2,GL,Upernavik,72.7868,-56.1549,-17.76,81,88,2.74,1613085482
3,NZ,Bluff,-46.6,168.3333,14.44,72,42,4.02,1613085483
4,CN,Hailun,47.45,126.9333,-7.17,96,32,3.82,1613085484
5,GB,Margate,51.3813,1.3862,0.56,62,29,3.13,1613085486
6,AU,Busselton,-33.65,115.3333,11.67,94,0,4.18,1613085487
7,US,Searcy,35.2506,-91.7363,-3.0,93,90,4.12,1613085488
8,AR,Ushuaia,-54.8,-68.3,12.0,58,40,7.72,1613085291
9,GL,Qaanaaq,77.484,-69.3632,-12.39,68,0,4.13,1613085490
10,CL,Punta Arenas,-53.15,-70.9167,11.0,58,0,8.23,1613085492
11,PT,Ponta Delgada,37.7333,-25.6667,16.11,88,40,9.77,1613085493
12,RU,Khatanga,71.9667,102.5,-31.42,87,92,1.92,1613085494
13,US,San Patricio,28.017,-97.5169,5.0,93,90,7.72,1613085495
14,TC,Cockburn Town,21.4612,-71.1419,25.01,77,0,9.38,1613085497
15,RU,Zhigalovo,54.8097,105.1578,-21.74,85,100,1.61,1613085498
16,IN,Sheopur,25.6667,76.7,16.02,33,12,3.24,1613085499
17,AO,Mossamedes,-15.1961,12.1522,23.26,76,42,0.46,1613085363
18,NZ,Tuatapere,-46.1333,167.6833,14.44,72,0,4.02,1613085504
19,KI,Butaritari,3.0707,172.7902,27.71,77,70,6.69,1613085505
20,CV,São Filipe,14.8961,-24.4956,22.34,67,1,4.41,1613085506
21,BR,Paraúna,-16.9478,-50.4486,22.47,88,99,0.76,1613085509
22,AU,Hobart,-42.8794,147.3294,20.0,45,20,8.23,1613085201
23,GW,Bubaque,11.2833,-15.8333,25.53,63,53,5.69,1613085489
24,PT,Lata,40.1629,-8.3327,14.44,92,97,0.89,1613085512
25,AU,Mackay,-21.15,149.2,28.0,57,18,3.6,1613085515
26,UA,Sudak,44.85,34.9667,10.34,71,100,1.26,1613085517
27,EC,Puerto Ayora,-0.7393,-90.3518,26.0,83,75,3.09,1613085518
28,US,Nome,64.5011,-165.4064,-12.0,72,90,11.32,1613085520
29,AU,Kununurra,-15.7667,128.7333,28.0,94,90,1.03,1613085521
30,RU,Tigil',57.8,158.6667,-14.78,89,2,1.59,1613085523
31,RU,Vuktyl,63.8567,57.3094,-30.17,87,94,0.81,1613085524
32,RU,Nikolskoye,59.7035,30.7861,-15.0,85,75,3.0,1613085294
33,CA,Tuktoyaktuk,69.4541,-133.0374,-22.0,77,40,7.2,1613085266
34,NG,Lagos,6.5833,3.75,26.91,86,93,2.22,1613084985
35,US,Albany,42.6001,-73.9662,-5.0,53,40,4.12,1613085529
36,PF,Rikitea,-23.1203,-134.9692,26.21,70,76,3.34,1613085530
37,US,Saint Paul Harbor,57.79,-152.4072,3.0,87,90,15.95,1613085531
38,NZ,Whitianga,-36.8333,175.7,21.08,45,0,2.59,1613085532
39,CK,Avarua,-21.2078,-159.775,26.0,89,75,1.03,1613085534
40,JP,Sakaiminato,35.55,133.2333,4.0,87,75,1.03,1613085535
41,CA,Saint-Augustin,51.226,-58.6502,-2.18,94,100,5.27,1613085536
42,RU,Turukhansk,65.8167,87.9833,-31.56,82,8,2.04,1613085537
43,BF,Sapouy,11.5544,-1.7736,25.43,16,0,1.97,1613085539
44,VE,San Cristobal,7.7669,-72.225,28.0,57,40,3.09,1613085540
45,MG,Moramanga,-18.9333,48.2,17.28,92,100,0.52,1613085541
46,PF,Faanui,-16.4833,-151.75,28.15,67,0,5.59,1613084780
47,IT,Sciacca,37.5082,13.0881,9.44,94,54,2.92,1613085546
48,CA,Norman Wells,65.282,-126.8329,-17.0,66,1,4.12,1613085547
49,CN,Dinghaicun,26.2847,119.7936,13.0,94,90,4.0,1613085548
50,IN,Punalūr,9.0,76.9333,24.0,69,20,1.8,1613085549
51,TO,Vaini,-21.2,-175.2,30.0,79,75,4.12,1613085551
52,US,San Joaquin,37.9333,-121.3011,16.11,55,75,2.06,1613085552
53,AU,New Norfolk,-42.7826,147.0587,20.0,62,13,3.13,1613085553
54,US,Broome,42.2506,-75.833,-6.11,73,75,4.12,1613085409
55,MV,Hithadhoo,-0.6,73.0833,27.31,80,22,6.67,1613085556
56,FR,Firminy,45.3873,4.2907,-1.0,86,90,3.09,1613085557
57,ZA,East London,-33.0153,27.9116,23.92,85,16,6.88,1613085558
58,UY,Chui,-33.6971,-53.4616,21.28,89,100,5.99,1613085559
59,CA,Clyde River,70.4692,-68.5914,-14.0,92,45,14.4,1613085560
60,JP,Nemuro,43.3236,145.575,-4.05,91,17,7.65,1613085491
61,RO,Gorneşti,46.6713,24.6476,-6.0,73,75,5.66,1613085563
62,IN,Kavaratti,10.5669,72.642,27.39,56,19,2.86,1613085292
63,PH,Tabon,9.2388,117.9946,25.82,80,0,1.87,1613085565
64,PT,Ponta do Sol,32.6667,-17.1,14.44,68,70,1.34,1613085296
65,ID,Meulaboh,4.1363,96.1285,25.02,87,45,2.15,1613085568
66,RU,Arman',59.7,150.1667,-10.53,88,0,2.62,1613085569
67,ZA,Hermanus,-34.4187,19.2345,22.78,88,21,0.45,1613085275
68,IQ,Mandalī,33.7499,45.5541,15.59,45,0,3.84,1613085430
69,ID,Merauke,-8.4667,140.3333,25.92,88,100,3.61,1613085380
70,BR,Tucuruí,-3.7661,-49.6725,24.86,90,74,0.56,1613085574
71,KZ,Zaysan,47.4667,84.8667,-14.78,93,100,0.2,1613085576
72,RU,Strezhevoy,60.7333,77.5889,-27.0,76,0,2.0,1613085578
73,RU,Severo-Kuril'sk,50.6789,156.125,-1.52,92,100,0.96,1613085580
74,SO,Hobyo,5.3505,48.5268,24.78,76,100,8.1,1613085581
75,US,Morgan City,29.6994,-91.2068,17.78,100,90,3.6,1613085582
76,NZ,Mataura,-46.1927,168.8643,14.44,72,1,4.02,1613085583
77,MG,Miandrivazo,-19.5167,45.4667,24.09,87,100,1.15,1613085374
78,RO,Făurei,45.0833,27.2667,-1.8,96,100,8.25,1613085587
79,BR,Touros,-5.1989,-35.4608,27.0,78,20,4.63,1613085588
80,CA,Torbay,47.6666,-52.7314,-5.0,93,90,15.43,1613085308
81,AU,Port Hedland,-20.3167,118.5667,29.0,70,90,4.12,1613085592
82,DE,Burglengenfeld,49.2056,12.0414,-9.44,78,1,1.3,1613085593
83,IN,Port Blair,11.6667,92.75,25.2,71,14,3.74,1613085309
84,US,Ketchikan,55.3422,-131.6461,-4.0,33,1,8.23,1613085596
85,RU,Deputatsky,69.3,139.9,-21.48,81,100,0.9,1613085597
86,DJ,Djibouti,11.5,42.5,19.92,72,15,4.65,1613085598
87,PH,Tagusao,9.1924,117.8141,25.99,80,6,0.93,1613085599
88,SJ,Longyearbyen,78.2186,15.6401,-18.0,78,20,5.66,1613085313
89,RU,Lavrentiya,65.5833,-171.0,-30.23,81,0,5.44,1613085602
90,CA,Thompson,55.7435,-97.8558,-30.0,69,40,1.54,1613085603
91,ZM,Lukulu,-14.3707,23.242,19.21,94,100,0.97,1613085604
92,CN,Bantou,26.2151,117.4893,10.33,87,43,0.73,1613085607
